"","alpha","beta","theta","p","delta1","delta2","delta3","delta4","tau1","tau2"
"204",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"205",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"206",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"207",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"208",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"209",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"210",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"211",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"212",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"213",0,0.02,0.1,0.6,0.01,0.05,0.090483741803596,0.0109616211,0.1,0.01
"214",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"215",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"216",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"217",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"218",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"219",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"220",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"221",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"222",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"223",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"224",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"225",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"226",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"227",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"228",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"229",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"230",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"231",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"232",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"233",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"234",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"235",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"236",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"237",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"238",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"239",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"240",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"241",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"242",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"243",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"244",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"245",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"246",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
"247",0,0.02,0.1,0.6,0.01,0.05,0.0826559195981563,0.0109616211,0.1,0.01
